"likesCount","text","title","reviewsCount","rating","reviewerNumberOfReviews","totalScore","stars","price"
"0","Very good service by vivekananda hospital with my kidney stone surgery ie 21.6 mm by dr.sumit mishra (asst.prof.urology kiims)on 29th may and discharge by 31th may, well coperate by all staff. Thnxs alot.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","Cleanliness is upto date , but canteen food is really disgusting. There's no specific diet for a patient, same food is being provided to all which is very unprofessional. For example, A Kidney failure patient who's restricted to green leafy vegetables is provided spinach in lunch that too in huge amount. There are no such experienced doctors for treatment. Rarely you can find 3-5 only.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","3",
"1","I had an incredibly disappointing experience at this hospital. The staff were unprofessional and unresponsive, leaving me waiting for hours without any updates or assistance. The facilities were poorly maintained and unhygienic, making me question the overall standards of care. The doctors appeared disinterested and rushed through consultations, providing minimal information and showing a lack of empathy. Overall, the service was subpar and left me feeling frustrated and neglected. I would not recommend this hospital to anyone seeking quality medical care.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","1",
"0","All the Medical facilities ,Services & cleanness are very excellent. Staffs are supportive and caring. Doctors are friendly taking proper care  and available every time. A great thanks  Managing Director of Vivekananda Hospital Bhubaneswar.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"4","My experience at this hospital was nothing short of a nightmare. From the moment I arrived, it was clear that patient care was severely lacking. The reception staff were rude and unhelpful, making me feel like an inconvenience rather than a patient in need. The waiting area was dirty, with stained chairs and a foul smell lingering in the air.

After an excruciatingly long wait, I was finally seen by a doctor who seemed completely disinterested in my condition. The consultation was rushed, and the doctor showed no empathy or concern, barely glancing at my medical history before prescribing medication without any explanation. The nurses were equally indifferent, providing minimal assistance and often ignoring my requests for help.

The facilities were appalling – outdated, unclean, and clearly not maintained to any acceptable standard. I even saw insects crawling in the corners of the room. The overall hygiene was so poor that I was genuinely worried about the risk of infection.

Communication was practically non-existent, with no one bothering to explain my treatment plan or what to expect next. It felt like I was left to fend for myself in a place that should prioritize care and support. This hospital is a disgrace, and I would strongly advise anyone to seek medical attention elsewhere. It's unsafe, unsanitary, and utterly lacking in compassion.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","1",
"0","Doctor & staff very positive response, good behaviour.. good hospital ,I refer go to this hospital","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","Dr Pratap Pani , neurosurgeon s behaviour is vary good.
All the hospital staff are very cooperative.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","The services provided by support staff of the hospital are excellent. Well behaved guys are there to satisfy the need of the patients.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"2","As per me it's good. Cleaning staff , nurses even security guards behaves properly with us. Overall i have a good experience here.Thanks to everyone.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","4",
"0","All staffs behaviour is good, patient representative officer coordinate when we faces any issues, overall we are satisfied with Vivekanand Hospital.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","Staff behaviour improved more than we visited 1st time. Facilities are good, we are fully satisfied.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","Are facilities are good, nursing staffs are taking good care of our patient. Patient relationship officers behaviour also very good.we are over all very much satisfied.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","The treatment is very good and the people who give attention are supportive and the hospital is clean.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","All facilities are good, we are overall satisfied with this hospital. Staffs behaviour are great.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"1","Very nice 🏥 hospital And the sir madam are very kind or gentle. Staffes are also good persons. Treatments are neat and clean. 👍🙏 service are very good in this hospital 🏥 everyone behavior quite gentle. One of the best hospital bhubaneswar. Allstaf are good and help full.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","All facilities are good, staffs behavior &cleanness are overall great.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"1","Neat and clean , tnks to dr.mrutyunjaya sir and medical staff.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","All facilities are good, staffs behaviour very good too.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","All facilities & staffs are good. We are overall satisfyed.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","All facilities are good, staffs behaviour and cleanness was absolutely good. We are overall satisfied.","Vivekanand Hospital Bhubaneswar","1898",,,"4.6","5",
"0","Thanks to all team for all the kind support and everything. We are very thankful to all the nursing sister, catering and housing keeping staffs during hospital service. Very Co-operative staff and understands patients problem very well. Thank you for your outstanding dedication and care. Your compassion and kindness will made a real difference in my recovery.” “I am grateful for the exceptional support you provided during my time at your hospital.","Apollo Hospitals","17373",,,"4.7","5",
"9","The nursing staff of in patient service is excellent. The maintenance,  cleaning staff and the patient care attendant who are providing service to the patient are also excellent. Overall, the in patient service is world class and full 5 rating. But they gave me a non deluxe room saying that it is deluxe though some deluxe facilities like freeze, microwave and kettle are available. Only for this not so good practice, 1 rating reduced. Otherwise it is 5 out of 5. Not to forget, the Doctors are also very good. I thank from my bottom of my heart to all the doctos, nursing staff, patient care attendant and maintenance staff for their patient centric approach.

Overall, a very satisfying experience

Thanks Apollo hospital for giving a good treatment to my father","Apollo Hospitals","17373",,,"4.7","4",
"2","Hospital is one of the best multi-speciality in odisha. Doctor Soumen Roy and his team were the best we could have asked for.
Nurse Narmada and Soumya were too kind and nice throughout the stay and took care of my father in their best capabilities. Kudos to them for standing by their oath and taking best care of patients. Wish them all the best and great future ahead!

Cons- Management is not as great as the Doctors and staff. Too expensive on pocket. Pharmacy within hospital does not let u get discounts. They should focus on cleaning the patient area and rooms more often instead of once a day.","Apollo Hospitals","17373",,,"4.7","4",
"2","Very good and renowned multi specialty hospital. The staffs and doctors are very nice. There should be more chairs available for sitting.

They give you to option book from their Apollo 24x7 app and let you choose your preferred timing for opd consultation. But that's just a marketing gimmick.

Even if you book an appointment, when you reach at hospital first you have to pay consultation fees and collect your receipt, then you have to go for BP, HEIGHT AND WEIGHT check.

After that you have to submit your receipt at doctor's cabin attendant. Then as per their current serial of receipts submitted you will be allowed to see the doctor.

I ask what's the point of making an online appointment booking.","Apollo Hospitals","17373",,,"4.7","4",
"6","Charge is so high not even clean room. Doctors are good treatment also so good. But i admitted a patient in the month of June but i don't find clean room. Very bad smell inside the room. You need to maintenance the ròom. I face one more issue that is new nurse who join recently she don't have good experience input injection many times in both hand for collecting blood for test. Please provided good nurses..","Apollo Hospitals","17373",,,"4.7","3",
"4","One of the best in Odisha. For CKd patients Nephrologist Dr. Nitish Mohanty is the best consultant. It is on the pricey side but services and consultation is worth it. My experience here has been good but again hospital experience differs from person to person. Guess cafeteria is under renovation cuz current one is below average and seating space is on the outside. Food is average. Very less parking spots available.","Apollo Hospitals","17373",,,"4.7","4",
"2","Apollo is a super-speciality hospital centrally located in Bhubaneswar city. It has about 350 beds for patients. There are all the amenities for ease of treatment including emergency care, ambulance services etc. Apart from local people patients from other adjoining States also visit this hospital for treatment.","Apollo Hospitals","17373",,,"4.7","4",
"5","Subhranshu Barik, Chinmayee Sharma are the best staff to attend you and with the best happiest experience for a patient.
We were in the single ward in room 421. And the services and treatment was immaculate
We are happy with nursing services specifically thanks to sister sweta and swagatika and sushree also","Apollo Hospitals","17373",,,"4.7","5",
"0","Bed no 357 Patient care was upto mark. The quality they provided was very good. Sisters are well experienced and very supportive. The way they are handling a patient is very good. Hospital maintains update technology and a clean environment. Overall I had a great experience with the facilities and the staffs as well.","Apollo Hospitals","17373",,,"4.7","5",
"0","It was great experience with the hospital nurses & housekeeping services. Room Services was excellent. All the staff members are great took great care of patient. Especially the doctor Dr. Biswajit Nanda and the housekeeping team Tapan, Uttam & nursing staff also did fanstaic job and excellent caring.
Regards
Bed No 501","Apollo Hospitals","17373",,,"4.7","5",
"1","Very disappointed with the staff members behaviour. They are rude and arrogant. You visit a pvt medical with higher expenses for better quality and facilities but it was a very regretful experience for me. At the entry the reception members were unprofessional and the self service kiosk was also not working. Waited for the endoscopy for around 3 hours and the end when the report came the doctor was not available for the day. They intentionally register the waiting number towards the end so that we have to visit the next day for an appointment. The doctors are okay but the overall experience was very bad. Not recommended. Better to go IGKC for gastro and kidney or any better govt hospital.","Apollo Hospitals","17373",,,"4.7","2",
"1","Housekeeping services Was excellent. Staff behavior Was good. Food was very nice, Nursing staff are well behaved. They are care of my husband
Regards
Bed 407","Apollo Hospitals","17373",,,"4.7","4",
"0","Bed No # 523
I am extremely happy with the 24x7 beautiful service and nursing provided by Apollo Hospital, Bhubaneswar. Its one of the best hospitals not only in Odisha but also Nation wide.
Doctors, Nursing Team, House Keeping, Food and other Administrative Staff are excellent. Thank you Apollo Hospital.
I suggest to please upgrade & fast-track the Patient Insurance Policy for bills settlement.","Apollo Hospitals","17373",,,"4.7","5",
"1","Dr Padhy sir ortho is very good.
Did ACL repair  surgery. recovery and discharge happened very first and in time.. used private room for admission. Good and in time service of all nursing faculty.","Apollo Hospitals","17373",,,"4.7","5",
"0","I Sanatan Patel along with my family share my deep hearted gratitude for the attention, special care given to me by all nursing staff members and our doctors. The nursing staff members have given me best of care and service. Timely providing medicine, helping with food and other activity. I sincerely have been connected with Apollo long before and service it renders. I will remain connected for Apollo commitment t. I thank again for treatment and getting me well. Thanks to nursing staff's dedication and care. Thank you. I salute you for your efforts and plead sorry if  any of my behaviour have hurt you.
Bless you all nursing staff and keep your service towards mankind high.","Apollo Hospitals","17373",,,"4.7","5",
"4","Doctors have been more than Gods for us, nurses the real angels here. Would bless everyone here for the care they have taken. Special thanks to Dr Alok for being more humane than human. My gratitude 🙏🏻","Apollo Hospitals","17373",,,"4.7","5",
"1","My baby was admitted in PICU in 228 bed,,,All Apollo family are very cooperative and their work for us is very familiar and close to heart thank you soo much all nursing staff specially sister Sushree ,Niladri ,and all","Apollo Hospitals","17373",,,"4.7","5",
"0","Bed n0 410, Excellent service from house keeping, pca staff Mansi Jena, Lalita, mayabati from house keeping, really appreciative work Thank you Apollo Regards bed no 410","Apollo Hospitals","17373",,,"4.7","5",
"1","""I recently visited [APOLLOHOSPITAL] for [PLATELATES DOWN ] and had an exceptional experience. The staff were friendly, attentive, and professional. The facilities were modern, clean, and well-maintained. My doctor was knowledgeable, empathetic, and took the time to explain everything clearly.

The hospital's atmosphere was calm and reassuring, which helped reduce my stress levels. The food was surprisingly good, and the amenities were comfortable.

What impressed me most was the level of care and compassion shown by the entire team. They genuinely cared about my well-being and went above and beyond to ensure I received the best treatment.

I highly recommend [APOLLO HOSPITAL] to anyone seeking top-notch medical care. Thank you to the entire staff for an outstanding experience!""

Feel free to modify it to suit your personal experience!","Apollo Hospitals","17373",,,"4.7","4",
