"price","likesCount","reviewsCount","totalScore","rating","reviewerNumberOfReviews","text","name","title","stars"
,"0","1898","4.6",,,"Very good service by vivekananda hospital with my kidney stone surgery ie 21.6 mm by dr.sumit mishra (asst.prof.urology kiims)on 29th may and discharge by 31th may, well coperate by all staff. Thnxs alot.","Patitapaban Senapati","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"Cleanliness is upto date , but canteen food is really disgusting. There's no specific diet for a patient, same food is being provided to all which is very unprofessional. For example, A Kidney failure patient who's restricted to green leafy vegetables is provided spinach in lunch that too in huge amount. There are no such experienced doctors for treatment. Rarely you can find 3-5 only.","Mrinal Mishra","Vivekanand Hospital Bhubaneswar","3"
,"1","1898","4.6",,,"I had an incredibly disappointing experience at this hospital. The staff were unprofessional and unresponsive, leaving me waiting for hours without any updates or assistance. The facilities were poorly maintained and unhygienic, making me question the overall standards of care. The doctors appeared disinterested and rushed through consultations, providing minimal information and showing a lack of empathy. Overall, the service was subpar and left me feeling frustrated and neglected. I would not recommend this hospital to anyone seeking quality medical care.","Snehalata Dash","Vivekanand Hospital Bhubaneswar","1"
,"0","1898","4.6",,,"All the Medical facilities ,Services & cleanness are very excellent. Staffs are supportive and caring. Doctors are friendly taking proper care  and available every time. A great thanks  Managing Director of Vivekananda Hospital Bhubaneswar.","OTDC PNSBKL","Vivekanand Hospital Bhubaneswar","5"
,"4","1898","4.6",,,"My experience at this hospital was nothing short of a nightmare. From the moment I arrived, it was clear that patient care was severely lacking. The reception staff were rude and unhelpful, making me feel like an inconvenience rather than a patient in need. The waiting area was dirty, with stained chairs and a foul smell lingering in the air.

After an excruciatingly long wait, I was finally seen by a doctor who seemed completely disinterested in my condition. The consultation was rushed, and the doctor showed no empathy or concern, barely glancing at my medical history before prescribing medication without any explanation. The nurses were equally indifferent, providing minimal assistance and often ignoring my requests for help.

The facilities were appalling – outdated, unclean, and clearly not maintained to any acceptable standard. I even saw insects crawling in the corners of the room. The overall hygiene was so poor that I was genuinely worried about the risk of infection.

Communication was practically non-existent, with no one bothering to explain my treatment plan or what to expect next. It felt like I was left to fend for myself in a place that should prioritize care and support. This hospital is a disgrace, and I would strongly advise anyone to seek medical attention elsewhere. It's unsafe, unsanitary, and utterly lacking in compassion.","Suraj Kumar Dash","Vivekanand Hospital Bhubaneswar","1"
,"0","1898","4.6",,,"Doctor & staff very positive response, good behaviour.. good hospital ,I refer go to this hospital","Nibedita Sharma","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"Dr Pratap Pani , neurosurgeon s behaviour is vary good.
All the hospital staff are very cooperative.","Nihar Jena","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"The services provided by support staff of the hospital are excellent. Well behaved guys are there to satisfy the need of the patients.","Binod Kishore Sadual","Vivekanand Hospital Bhubaneswar","5"
,"2","1898","4.6",,,"As per me it's good. Cleaning staff , nurses even security guards behaves properly with us. Overall i have a good experience here.Thanks to everyone.","Rajbhuban Mahalick","Vivekanand Hospital Bhubaneswar","4"
,"0","1898","4.6",,,"All staffs behaviour is good, patient representative officer coordinate when we faces any issues, overall we are satisfied with Vivekanand Hospital.","Bipin Baral","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"Staff behaviour improved more than we visited 1st time. Facilities are good, we are fully satisfied.","Sima rani Dash","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"Are facilities are good, nursing staffs are taking good care of our patient. Patient relationship officers behaviour also very good.we are over all very much satisfied.","Brakishore Panda","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"The treatment is very good and the people who give attention are supportive and the hospital is clean.","Mohammad Mustafa","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"All facilities are good, we are overall satisfied with this hospital. Staffs behaviour are great.","Bismita jena Sima","Vivekanand Hospital Bhubaneswar","5"
,"1","1898","4.6",,,"Very nice 🏥 hospital And the sir madam are very kind or gentle. Staffes are also good persons. Treatments are neat and clean. 👍🙏 service are very good in this hospital 🏥 everyone behavior quite gentle. One of the best hospital bhubaneswar. Allstaf are good and help full.","satyabrat rana","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"All facilities are good, staffs behavior &cleanness are overall great.","Sulochana Pradhan","Vivekanand Hospital Bhubaneswar","5"
,"1","1898","4.6",,,"Neat and clean , tnks to dr.mrutyunjaya sir and medical staff.","Pratap Malik","Vivekanand Hospital Bhubaneswar","5"
