totalScore,text,title
4.6,Very bad service don't go their treatment,Sunshine Hospital
4.6,Biswajit Mishra,Sunshine Hospital
4.6,"Don't go to this hospital. Extremely unprofessional staffs. Bad behavior with no sense of empathy for patients. Not transparent with patients. Some of the reports were not provided and the patient had to leave without any clear understanding of diagnosis or treatment.

It's a complete failure of hospital management (not sure if they have one).",Sunshine Hospital
4.6,"Very Good behavior Doctors and staff❤️
Giving Five stars for all the services started form Emergency ward through ICU to General ward and finally time of Discharge ❤️",Sunshine Hospital
4.6,Room size very small in compare to price. A little bit improvement needed in room service part.,Sunshine Hospital
4.6,"Excellent Hospital.Pleased with the service rendered by the esteemed doctors ,nursing staff and house keeping staff.

My best wishes to all.",Sunshine Hospital
4.6,All  good,Sunshine Hospital
4.6,All services are good,Sunshine Hospital
4.6,All services are very good,Sunshine Hospital
4.6,Very good service nd co-operate is better,Sunshine Hospital
4.6,Sunil Kumar das,Sunshine Hospital
4.5,"जितना तक मैं इस हॉस्पिटल जो देख समझ पाई हूँ, उसके अनुसार ये हॉस्पिटल बहुत अच्छा है। ये क्यों अच्छा है  इसको समझने के लिए हमे पहले उन सभी समस्याओं को जानना होगा जिसे हम किसी भी हॉस्पिटल में देखते हैं या झेलते हैं जैसे-

1) डॉक्टर: काफी डॉक्टर रोगी की परेशानी को पूरा सुनते ही नहीं और कुछ का व्यवहार तो काफी खराब होता है। इस हॉस्पिटल में मैंने Dr. Smita Sarangi मैडम को दिखाई जिनका नॉलेज बहुत ही अच्छा है, रोगी की बात को अच्छे से सुनती हैं और समझती हैं। उनका व्यवहार बहुत ही अच्छा है और बहुत ही कॉपरेटिव हैं।

2) हॉस्पिटल का मैनेजमेंट; काफी हॉस्पिटल के स्टॉफ सही से कोपरेट नहीं करते और व्यवहार तो बहुत खराब करते हैं लेकिन इस हॉस्पिटल में स्टॉफ लोगों का व्यवहार मुझे बहुत अच्छा और कोपरेटिव लगा।

3) डॉक्टर को दिखाना: काफी सारे हॉस्पिटल में मैंने देखा है कि अगर फोन करके नंबर लगा लेते हैं या वहाँ जाकर नंबर लगाते हैं तो स्टॉफ लोग उसी नंबर के अनुसार रोगी को डॉक्टर के पास नहीं भेजते हैं। रोगी के पर्चे या फाईल को आगे पीछे कर देते हैं। वो ऐसा इसलिए करते हैं इसके कई कारण हैं जैसे -
A)अपनी ड्यूटी को ईमानदारी से ना करना
B)अपनी जान-पहचान वालों को पहले दिखा देना
C)पैसा लेना- कई जगह होता है कि रोगी से चोरी से कुछ पैसा लेकर उनका फाईल पहले रख देते हैं।

लेकिन मैंने देखा इस हॉस्पिटल में सब कुछ काफी अच्छा और सिस्टेमैटिक है। जिस रोगी का जैसा नंबर होता है उसी के अनुसार दिखाया जाता है। ये बहुत बड़ा मैटर रखता है

4) साफ-सफाई: नॉर्मली ठीक है।

5) बैठने की व्यवस्था: अच्छा है खासकर अलग अलग डॉक्टर को दिखाने वाले लोगों को अलग अलग बैठने की व्यवस्था है जो कि काफी अच्छा है।

Dr. Smita Sarangi मैडम और हॉस्पिटल को बहुत बहुत धन्यवाद",Health Village Hospital
4.5,Our hospital is best hospital of others hospital,Health Village Hospital
4.5,A Good hospital and All staffs behavior nice,Health Village Hospital
4.5,The hospital has very good doctors and medical facility.,Health Village Hospital
4.5,"Very Bad experience. even though alternative issue arise because of them, they are not ready to accept the same. Behaving like nothing happened. and asking to consult another doctor of the same compartment by charging extra money. All need to avoid this medical.",Health Village Hospital
4.5,Very good,Health Village Hospital
4.5,Hospital service is very good. Staff behavior is good. Overall the facilities of hospital is good.,Health Village Hospital
4.5,Doctors consultancy is really excellent. All the nursing & house keeping staffs are very cooperative. Over all atmosphere is fabulous. Only thing is that the toilets & bathrooms need to be refurbished.,Health Village Hospital
4.5,"As price it's one of the best hospital in area!
Thank you to Dr Smita Sarangi, and Dr Chinmay Chiranjeevi Samal! Amezing Doctors!!
Both of them one of best gynecologist & plastic surgeon..",Health Village Hospital
4.5,Very nice staff and very cooperative.,Health Village Hospital
4.5,"Very good service.Hospitality is good,staffs behaviour is also good.",Health Village Hospital
4.6,Iam satisfied for excellent treatment.,Vivekanand Hospital Bhubaneswar
4.6,excellant,Vivekanand Hospital Bhubaneswar
4.6,All services are very good,Vivekanand Hospital Bhubaneswar
4.6,Good treatment,Vivekanand Hospital Bhubaneswar
4.6,Good doctor and staffs,Vivekanand Hospital Bhubaneswar
